Number of hit	Text ID	Context before	Query item	Context after	Tagged context before	Tagged query item	Tagged context after	Additional Title(s)	Alternative Title(s)	ID numbers (STC)	Century	Century Status	Decade	Decade Status	Half Century	Half Century Status	ID numbers (marc, bibno)	Keyword Terms	Author(s)	Rough-draft genre (experimental, incomplete)	Notes	Publication Place(s)	Publisher(s)	Quarter Century	Quarter Century Status	BIBNO tag(s)	STC tag(s)	VID tag(s)	Title	Year	Year Status	URL	Match-begin corpus position	Match-end corpus position
11	A01059	without disturbance : for in that habit he was without control , and soon got to the Myrtle-tre , whereunder	<<< be sat >>>	him down , uttering many hearty Invocations for his Loves fortunate escape : thinking that she alone should endure this	without_IW disturbance_NN1 :_YCOL for_IF in_II that_DD1 habit_NN1 he_PPHS1 was_VBDZ without_IW control_NN1 ,_YCOM and_CC soon_RR got_VVN to_II the_AT Myrtle-tre_FU ,_YCOM whereunder_NN1	<<< be_VBI sat_VVN >>>	him_PPHO1 down_RP ,_YCOM uttering_VVG many_DA2 hearty_JJ Invocations_NN2 for_IF his_APPGE Loves_NN2 fortunate_JJ escape_NN1 :_YCOL thinking_VVG that_CST she_PPHS1 alone_RR should_VM endure_VVI this_DD1	_NO_TITLES_LISTED_	Famous historie of Montelyon | History of Montelion, Knight of the Oracle.	STC (2nd ed.) 11167.5.	1600_1699	CERTAIN	1640_1649	CERTAIN	1600_1649	CERTAIN	99855340	Romances, English -- Early works to 1800.	Ford, Emanuel.	HISTORY	Dedication signed: Emanuel Foord. | Signatures: A-2B4. | The first leaf is blank except for signature-mark &quot;A&quot; within a border of type-ornaments. | Running title reads: The history of Montelion, Knight of the Oracle. | Reproduction of the original in the Folger Shakespeare Library.	London	Printed by B. Alsop, and T. Favvcet, dwelling in Grubstreet, neere the lower Pump	1625_1649	CERTAIN	umi: 99855340	S: 11167.5	20827	The famous historie of Montelyon, Knight of the Oracle, and sonne to the renowned Persicles King of Assyria. Shewing his strange birth, vnfortunate love, perilous adventures in armes, and how he came to the knowledge of his parents. Interlaced, with much variety of pleasant and delightfull discourse.	1640	CERTAIN	https://cqpweb.lancs.ac.uk/eebov3/context.php?qid=006421&batch=10	15791660	15791661
12	A01066	, had much a do to withhold himself from betraying what he was : but yet with constrained forbearance ,	<<< be stood >>>	still , and heard her declare Irus Wicked behaviour , and in what manner she had wrought revenge against him	,_YCOM had_VHD much_RR a_AT1 do_VD0 to_TO withhold_VVI himself_PPX1 from_II betraying_VVG what_DDQ he_PPHS1 was_VBDZ :_YCOL but_CCB yet_RR with_IW constrained_JJ forbearance_NN1 ,_YCOM	<<< be_VBI stood_VVN >>>	still_JJ ,_YCOM and_CC heard_VVN her_PPHO1 declare_VVI Irus_NP1 Wicked_JJ behaviour_NN1 ,_YCOM and_CC in_II what_DDQ manner_NN1 she_PPHS1 had_VHD wrought_VVN revenge_NN1 against_II him_PPHO1	_NO_TITLES_LISTED_	Most famous, delectable, and pleasant history of Parismus, the renowned Prince of Bohemia | Famous and pleasant history of Parismus. | Second part of the most famous delectable, and pleasant hystorie of Parismus, the renowmed prince of Bohemia.	STC (2nd ed.) 11173.	1600_1699	CERTAIN	1610_1619	CERTAIN	1600_1649	CERTAIN	99851629	_NO_TERMS_FOUND_	Ford, Emanuel.	HISTORY	Dedication signed: Emanuel Forde. | Another edition of both parts with separate dated title pages and separate register. Part 2 title page reads: The second part of the most famous delectable, and pleasant hystorie of Parismus, the renowmed prince of Bohemia. | Signatures: A-P (-A1, P8, blank?) A-Q R4 (-A1, blank?). | Reproduction of the original in the British Library.	London	Printed by Thomas Creed	1600_1624	CERTAIN	umi: 99851629	S: 11173	16915	The first part of Parismus, the renovvmed Prince of Bohemia. His most famous, delectable, and pleasant historie. Containing his noble battails fought against the Persians. His loue to Laurana, the Kings daughter of Thessalie: and of his strange aduentures in the desolate iland.	1615	CERTAIN	https://cqpweb.lancs.ac.uk/eebov3/context.php?qid=006421&batch=11	16071852	16071853
13	A01076	do not claim or assume unto him personal administration in cause Ecclesiastical , the Oath of Supremacy shall no further	<<< be stood >>>	upon , or refused . Then let him bethink himself of this part or clause of the Oath , That	do_VD0 not_XX claim_VVI or_CC assume_VVI unto_II him_PPHO1 personal_JJ administration_NN1 in_II cause_NN1 Ecclesiastical_JJ ,_YCOM the_AT Oath_NN1 of_IO Supremacy_NN1 shall_VM no_RR further_RRR	<<< be_VBI stood_VVN >>>	upon_II ,_YCOM or_CC refused_VVD ._YSTP Then_RT let_VV0 him_PPHO1 bethink_VVI himself_PPX1 of_IO this_DD1 part_NN1 or_CC clause_NN1 of_IO the_AT Oath_NN1 ,_YCOM That_CST	_NO_TITLES_LISTED_	_NO_TITLES_LISTED_	STC (2nd ed.) 11189.	1600_1699	CERTAIN	1620_1629	CERTAIN	1600_1649	CERTAIN	99854612	Parsons, Robert, -- 1546-1610. -- Judgment of a Catholicke English-man living in banishment for his religion. | Parsons, Robert, -- 1546-1610. -- Treatise tending to mitigation towardes catholicke-subjectes in England. | Catholics -- England -- Early works to 1800. | Oath of allegiance, 1606 -- Early works to 1800.	Forset, Edward, 1553?-1630.	LEGISLATION_AND_ORDERS	Identification of printer from STC. | A belated answer to two items by Robert Parsons, STC 19408 and STC 19417. | Reproduction of the original in the British Library.	London	Printed by B. A[lsop] for Nathaniel Butter, and are to be sold at his shop, at the Pyed Bull, neere Saint Austens Gat	1600_1624	CERTAIN	umi: 99854612	S: 11189	20039	A defence of the right of kings. Wherein the power of the papacie ouer princes, is refuted; and the Oath of Allegeance iustified. Written for the vse of all English romanists; more especially, for the information of those priests, or Iesuits, which are by proclamation commanded to conforme themselues, or depart the kingdome. By Edvvard Forset, Esquire.	1624	CERTAIN	https://cqpweb.lancs.ac.uk/eebov3/context.php?qid=006421&batch=12	16144032	16144033
14	A01083	because this Gilberts fathers name was Richard Fitz-Esteuen which Richard gave the manor in tail to Isabel &c. all that	<<< is stood >>>	on , in the argument , is that of the name ; and in the ms. occurres also icy fust	because_CS this_DD1 Gilberts_NP2 fathers_NN2 name_NN1 was_VBDZ Richard_NP1 Fitz-Esteuen_NP1 which_DDQ Richard_NP1 gave_VVD the_AT manor_NN1 in_II tail_NN1 to_II Isabel_NP1 &c._FO all_RR that_DD1	<<< is_VBZ stood_VVN >>>	on_RP ,_YCOM in_II the_AT argument_NN1 ,_YCOM is_VBZ that_DD1 of_IO the_AT name_NN1 ;_YSCOL and_CC in_II the_AT ms._NN1 occurres_NN2 also_RR icy_JJ fust_NN1	_NO_TITLES_LISTED_	De laudibus legum Angliae. English and Latin | De laudibus legum Angliæ. | Radulphi de Hengham Edwardi Regis I. Capitalis oláim Iustitiarij summæ. | Radulphi de Hengham Edwardi Regis I. Capitalis oláim Justitiarii summae.	STC (2nd ed.) 11197.	1600_1699	CERTAIN	1610_1619	CERTAIN	1600_1649	CERTAIN	99838321	Law -- England -- Early works to 1800.	Fortescue, John, Sir, 1394?-1476? | Mulcaster, Robert, 16th cent., | Selden, John, 1584-1654, | Hengham, Ralph de, d. 1311.	FICTION	Edited, with notes, by John Selden. | Latin and English in parallel columns. | The first part is a translation by Robert Mulcaster of: De laudibus legum Angliae. | Printer's name conjectured by STC. | &quot;Notes vpon Sir Iohn Fortescue Knight&quot; has separate pagination commencing on 2B1r. &quot;Radulphi de Hengham Edwardi Regis I. Capitalis oláim iustitiarij summæ&quot;, in Latin only, has separate dated title page and pagination; register continues from the &quot;Notes&quot;. | The first leaf is blank except for signature-mark; the last leaf is blank. | Reproduction of the original in the British Library.	London	[Printed by Adam Islip?] for the Companie of Stationer	1600_1624	CERTAIN	umi: 99838321	S: 11197	2695	De laudibus legum Angliæ writen by Sir Iohn Fortescue L. Ch. Iustice, and after L. Chancellor to K. Henry VI. Hereto are ioind the two Summes of Sir Ralph de Hengham L. Ch. Iustice to K. Edward I. commonly calld Hengham magna, and Hengham parua. Neuer before publisht. Notes both on Fortescue and Hengham are added.	1616	CERTAIN	https://cqpweb.lancs.ac.uk/eebov3/context.php?qid=006421&batch=13	16325271	16325272
15	A01108	of the two . And bearing in upon 3 fath. / . I espied an overfall on head , it	<<< was stood >>>	tide and I caused to bear up it blw much wind and more then at any time , since I	of_IO the_AT two_MC ._YSTP And_CC bearing_VVG in_RP upon_II 3_MC fath._NNU /_FO ._YSTP I_PPIS1 espied_VVD an_AT1 overfall_NN1 on_II head_NN1 ,_YCOM it_PPH1	<<< was_VBDZ stood_VVN >>>	tide_NN1 and_CC I_PPIS1 caused_VVD to_TO bear_VVI up_RP it_PPH1 blw_NNU much_RR wind_VV0 and_CC more_RRR then_RT at_II any_DD time_NNT1 ,_YCOM since_CS I_PPIS1	_NO_TITLES_LISTED_	North-west Fox | Fox from the North-west passage.	STC (2nd ed.) 11221.	1600_1699	CERTAIN	1630_1639	CERTAIN	1600_1649	CERTAIN	99841371	Northwest Passage -- Early works to 1800. | Voyages and travels -- Early works to 1800.	Foxe, Luke, 1586-1635.	SCIENCE_MATHEMATICS	Publisher's name from STC. | Reproduction of the original in the Newberry Library.	London	Printed by B. Alsop and Tho. Favvcet, dwelling in Grubstreet [for M. Sparke	1625_1649	CERTAIN	umi: 99841371	S: 11221	5949	North-vvest Fox, or, Fox from the North-west passage. Beginning vvith King Arthur, Malga, Octhur, the two Zeni's of Iseland, Estotiland, and Dorgia; following with briefe abstracts of the voyages of Cabot, Frobisher, Davis, Waymouth, Knight, Hudson, Button, Gibbons, Bylot, Baffin, Hawkridge ... Mr. Iames Hall's three voyages to Groynland, with a topographicall description of the countries, the salvages lives and treacheries, how our men have beene slayne by them there, with the commodities of all those parts ... demonstrated in a polar card, wherein are all the maines, seas, and ilands, herein mentioned. With the author his owne voyage, being the XVIth. with the opinions and collections of the most famous mathematicians, and cosmographers ...  By Captaine Luke Foxe of Kingstone vpon Hull, capt. and pylot for the voyage, in his Majesties Pinnace the Charles. Printed by his Majesties command.	1635	CERTAIN	https://cqpweb.lancs.ac.uk/eebov3/context.php?qid=006421&batch=14	16986607	16986608
16	A01219	Rulers & Princes ? Who men earnestly in h &#x101; d , y no m &#x101; , except he will	<<< be Sat >>>	&#x101; s own child , Lu. glos . ad Edic . Imper. ought to obey y worthy & poit decree	Rulers_NN2 &_CC Princes_NN2 ?_YQUE Who_NP1 men_NN2 earnestly_RR in_II h_ZZ1 &#x101;_NULL d_ZZ1 ,_YCOM y_ZZ1 no_AT m_ZZ1 &#x101;_NULL ,_YCOM except_CS he_PPHS1 will_VM	<<< be_VBI Sat_VVN >>>	&#x101;_NULL s_ZZ1 own_VV0 child_NN1 ,_YCOM Lu._NP1 glos_NN2 ._YSTP ad_NN1 Edic_NP1 ._YSTP Imper._NP1 ought_VMK to_TO obey_VVI y_ZZ1 worthy_JJ &_CC poit_VV0 decree_NN1	_NO_TITLES_LISTED_	Oratio Petri Frarini quod male reformandae religionis nomine arma sumpserunt sectarii nostri temporis habita. English | Oratio Petri Frarini quod male reformandae religionis nomine arma sumpserunt sectarii nostri temporis habita. | Against the vnlawful insurrections of the protestantes. | Against the unlawful insurrections of the protestantes. | Oration against the unlawfull insurrections of the protestantes of our time, under pretence to refourme religion.	STC (2nd ed.) 11333. | Allison &amp; Rogers.  Catholic Books, 344.	1500_1599	CERTAIN	1560_1569	CERTAIN	1550_1599	CERTAIN	99847930	Protestantism -- Controversial literature -- Early works to 1800.	Frarinus, Petrus. | Fowler, John, 1537-1579,	SPEECHES	A translation, by John Fowler, of: Oratio Petri Frarini quod male reformandae religionis nomine arma sumpserunt sectarii nostri temporis habita. | Has a verse summary with woodcuts at the end. | &quot;The translatour to the gentle reader&quot; signed: Ihon Fouler. | Running title reads: Againste the vnlawful insurrections of the protestantes. | Signatures: A-L. | Reproduction of the original in the Bodleian Library.	Antwerp	Ex officina Ioannis Fouler	1550_1574	CERTAIN	umi: 99847930	S: 11333	12999	An oration against the vnlawfull insurrections of the protestantes of our time, vnder pretence to refourme religion. Made and pronounced in Latin, in the Schole of Artes at Louaine, the .xiij. of December. Anno. 1565. By Peter Frarin of Andwerp, M. of Arte, and Bacheler of both lawes. And now translated [by John Fowler] into English, with the aduise of the author.	1566	CERTAIN	https://cqpweb.lancs.ac.uk/eebov3/context.php?qid=006421&batch=15	18279740	18279741
17	A01333	: Before the cross was a name of condemnation , now it is made a matter of honour : before	<<< is stood >>>	in damnation of a curse , now it is set up in occasion of salvation . This now Martial would	:_YCOL Before_CS the_AT cross_NN1 was_VBDZ a_AT1 name_NN1 of_IO condemnation_NN1 ,_YCOM now_RT it_PPH1 is_VBZ made_VVN a_AT1 matter_NN1 of_IO honour_NN1 :_YCOL before_CS	<<< is_VBZ stood_VVN >>>	in_II damnation_NN1 of_IO a_AT1 curse_NN1 ,_YCOM now_RT it_PPH1 is_VBZ set_VVN up_RP in_II occasion_NN1 of_IO salvation_NN1 ._YSTP This_DD1 now_RT Martial_JJ would_VM	_NO_TITLES_LISTED_	_NO_TITLES_LISTED_	STC (2nd ed.) 11456.	1500_1599	CERTAIN	1580_1589	CERTAIN	1550_1599	CERTAIN	99838504	Stapleton, Thomas, -- 1535-1598. -- Fortresse of the faith first planted. | Martiall, John, -- 1534-1597. -- Replie to M. Calfhills blasphemous answer made against the Treatise of the Crosse. | Catholic Church -- Controversial literature.	Fulke, William, 1538-1589.	RELIGION_ANTI_CATHOLICISM	A reply to &quot;A fortresse of the faith first planted&quot; by Thomas Stapleton and &quot;A replie to M. Calfhills blasphemous answer made against the Treatise of the Crosse&quot; by John Martiall. | Includes bibliography. | The last leaf is blank. | Reproduction of the original in the British Library.	London	Printed by Henrie Middleton for George Bisho	1575_1599	CERTAIN	umi: 99838504	S: 11456	2885	T. Stapleton and Martiall (two popish heretikes) confuted, and of their particular heresies detected. By D. Fulke, Master of Pembrooke hall in Cambridge. Done and directed to all those that loue the truth, and hate superstitious vanities. Seene and allowed.	1580	CERTAIN	https://cqpweb.lancs.ac.uk/eebov3/context.php?qid=006421&batch=16	20408744	20408745
18	A01622	it is moister , and cleaves faster : our common Damson is known to all , and therefore not to	<<< be stood >>>	upon . 1 Prunus Domestica . The Damson tree . 2 Prunus Mirobalana . The Mirobalane Plum tree . 3	it_PPH1 is_VBZ moister_JJR ,_YCOM and_CC cleaves_VVZ faster_RRR :_YCOL our_APPGE common_JJ Damson_NN1 is_VBZ known_VVN to_II all_DB ,_YCOM and_CC therefore_RR not_XX to_TO	<<< be_VBI stood_VVN >>>	upon_II ._YSTP 1_MC1 Prunus_FW Domestica_NP1 ._YSTP The_AT Damson_NP1 tree_NN1 ._YSTP 2_MC Prunus_NN Mirobalana_NP1 ._YSTP The_AT Mirobalane_JJ Plum_NN1 tree_NN1 ._YSTP 3_MC	Cruydenboeck.	Herball | Generall historie of plantes. | Of the history of plants.	STC (2nd ed.) 11751.	1600_1699	CERTAIN	1630_1639	CERTAIN	1600_1649	CERTAIN	99857317	Botany -- Pre-Linnean works -- Early works to 1800. | Botany, Medical -- Early works to 1800. | Gardens -- England -- Early works to 1800.	Gerard, John, 1545-1612. | Johnson, Thomas, d. 1644, | Payne, John, d. 1647?, | Dodoens, Rembert, 1517-1585.	SCIENCE_MEDICAL	Largely based on: Dodoens, Rembert.  Cruydenboeck. | The title page is engraved and signed: Io: Payne sculps:. | In this edition D1r last line begins &quot;sists&quot;; 7B5v has errata. | Running title reads: Of the history of plants. | The first leaf and the last leaf are blank. | Includes indexes. | Reproduction of the original in Cambridge University Library.	London	Printed by Adam Islip Ioice Norton and Richard Whitaker	1625_1649	CERTAIN	umi: 99857317	S: 11751	23022	The herball or Generall historie of plantes. Gathered by Iohn Gerarde of London Master in Chirurgerie very much enlarged and amended by Thomas Iohnson citizen and apothecarye of London.	1633	CERTAIN	https://cqpweb.lancs.ac.uk/eebov3/context.php?qid=006421&batch=17	26060209	26060210
19	A01653	1634 . ( 137 ) At this time , the Saxon General Lieutenant Arnheim , and the Swedish General Bannier	<<< being sat >>>	down before the City of Prague , with their Army , they played upon the City , with their Canons	1634_MC ._YSTP (_YBL 137_MC )_YBR At_II this_DD1 time_NNT1 ,_YCOM the_AT Saxon_JJ General_NN1 Lieutenant_NNB Arnheim_NP1 ,_YCOM and_CC the_AT Swedish_JJ General_JJ Bannier_NN1	<<< being_VBG sat_VVN >>>	down_RP before_II the_AT City_NN1 of_IO Prague_NP1 ,_YCOM with_IW their_APPGE Army_NN1 ,_YCOM they_PPHS2 played_VVD upon_II the_AT City_NN1 ,_YCOM with_IW their_APPGE Canons_NP2	_NO_TITLES_LISTED_	Invasions of Germany.	STC (2nd ed.) 11791.	1600_1699	CERTAIN	1630_1639	CERTAIN	1600_1649	CERTAIN	99856295	Germany -- History -- 1618-1648 -- Early works to 1800.	Gentleman well deserving that hath suffered much in those warres.	MILITARY	Issued with &quot;A true and brief relation of the bloudy battell fought .. betweene Duke Bernard van Wimeren, victour: and John deWeerdt ..&quot; (STC 1907). Often bound with STC 3759. | Signatures: A4 (-A1) B-E *F4 F-H. | Running title reads: The invasions of Germany. | Reproduction of the original in the Newberry Library.	London	Printed by I. Norton, for I. Rothwell, and are to bee sold at the Sunne in Pauls Church-yar	1625_1649	CERTAIN	umi: 99856295	S: 11791	21828	The invasions of Germanie. With all the civill, and bloody warres therein, since the first beginning of them in anno. 1618. and continued to this present yeare 1638. Wherein are described the severall battles, encounters, conflicts, and assaults, of cities, townes, and castles, at severall times, and in severall places, with a new and exact map of Germany, wherein the cities, and townes are figured with the same figures which are expressed over the heads of the particulars in the booke, so that the reader may behold at one view the places, time, yeere, and event of every battle, skirmish, and assault. Together with the progresse of every army, marked with severall markes or lines, with the pictures of the chiefe commanders on both sides. Faithfully collected out of good, and credible originalls. By a gentleman well deserving that hath suffered much in those warres.	1638	CERTAIN	https://cqpweb.lancs.ac.uk/eebov3/context.php?qid=006421&batch=18	26647409	26647410
20	A01719	Scriptures For through this book he calls himself in Hebrewe , Koheleth . In ded , this is somewhat to	<<< be stood >>>	upon : and I will briefly show you the reason of it , which is to be gathered from the	Scriptures_NN2 For_IF through_II this_DD1 book_NN1 he_PPHS1 calls_VVZ himself_PPX1 in_II Hebrewe_NP1 ,_YCOM Koheleth_NP1 ._YSTP In_II ded_JJ ,_YCOM this_DD1 is_VBZ somewhat_RR to_TO	<<< be_VBI stood_VVN >>>	upon_II :_YCOL and_CC I_PPIS1 will_VM briefly_RR show_VVI you_PPY the_AT reason_NN1 of_IO it_PPH1 ,_YCOM which_DDQ is_VBZ to_TO be_VBI gathered_VVN from_II the_AT	_NO_TITLES_LISTED_	Eight sermons, upon the first foure chapters, and part of the fift, of Ecclesiastes | Eight sermons, upon the first foure chapters, and part of the fift, of Ecclesiastes.	STC (2nd ed.) 11853.	1500_1599	CERTAIN	1580_1589	CERTAIN	1550_1599	CERTAIN	99849259	Bible. -- O.T. -- EcclesiastesI-V -- Commentaries -- Early works to 1800. | Sermons, English -- 16th century.	Gifford, George, d. 1620.	SERMONS	Eight sermons, each with caption title. | Reproduction of the original in the British Library.	London	Printed by Iohn Windet for Toby Cooke, at the Tygers head in Paules Church-yar	1575_1599	CERTAIN	umi: 99849259	S: 11853	14397	Eight sermons, vpon the first foure chapters, and part of the fift, of Ecclesiastes. Preached at Mauldon, by G. Giffard.	1589	CERTAIN	https://cqpweb.lancs.ac.uk/eebov3/context.php?qid=006421&batch=19	27519509	27519510
21	A01759	and griefs , to behold misery and impiety ? And on the other side ; Abac. 1.3 . And judgement	<<< was sat >>>	upon , and the Judge hath taken in regard hereof , the Law is rent in pieces , and udgement	and_CC griefs_NN2 ,_YCOM to_TO behold_VVI misery_NN1 and_CC impiety_NN1 ?_YQUE And_CC on_II the_AT other_JJ side_NN1 ;_YSCOL Abac._NP1 1.3_MC ._YSTP And_CC judgement_NN1	<<< was_VBDZ sat_VVN >>>	upon_II ,_YCOM and_CC the_AT Judge_NN1 hath_VHZ taken_VVN in_II regard_NN1 hereof_RR ,_YCOM the_AT Law_NN1 is_VBZ rent_VVN in_II pieces_NN2 ,_YCOM and_CC udgement_NN1	_NO_TITLES_LISTED_	Liber querulus de excidio Britanniae. English | Liber querulus de excidio Britanniae.	STC (2nd ed.) 11895.	1600_1699	CERTAIN	1630_1639	CERTAIN	1600_1649	CERTAIN	99838920	Great Britain -- History -- To 440 -- Early works to 1800.	Gildas, 516?-570? | Abington, Thomas, | Marshall, William, fl. 1617-1650,	RELIGION_EPISTLES	Translation by Thomas Abington of: Liber querulus de excidio Britanniae. | P. 325 misnumbered 327. | Reproduction of the original in the Henry E. Huntington Library and Art Gallery. | The portrait is engraved and signed: Will: Marshall. sculp.	London	Printed by T. Cotes, for William Cooke and are to be sold at his shop neere Furnivalls-Inne gate in Holborn	1625_1649	CERTAIN	umi: 99838920	S: 11895	3311	The epistle of Gildas, the most ancient British author who flourished in the yeere of our Lord, 546. And who by his great erudition, sanctitie, and wisedome, acquired the name of sapiens. Faithfully translated out of the originall Latine.	1638	CERTAIN	https://cqpweb.lancs.ac.uk/eebov3/context.php?qid=006421&batch=20	28089643	28089644
22	A01760	by the Brownists : and what can he say to it ? forsooth , that not so much the Ceremonies	<<< are stood >>>	upon , as obedience . If God please to try Adam but with an apple , it is enough .	by_II the_AT Brownists_NN2 :_YCOL and_CC what_DDQ can_VM he_PPHS1 say_VVI to_II it_PPH1 ?_YQUE forsooth_NN1 ,_YCOM that_DD1 not_XX so_RG much_RR the_AT Ceremonies_NN2	<<< are_VBR stood_VVN >>>	upon_II ,_YCOM as_CSA obedience_NN1 ._YSTP If_CS God_NP1 please_RR to_TO try_VVI Adam_NP1 but_CCB with_IW an_AT1 apple_NN1 ,_YCOM it_PPH1 is_VBZ enough_RR ._YSTP	_NO_TITLES_LISTED_	Dispute against the English-popish ceremonies, obtruded upon the Church of Scotland | Dispute against the English-popish ceremonies, obtruded upon the Church of Scotland.	STC (2nd ed.) 11896.	1600_1699	CERTAIN	1630_1639	CERTAIN	1600_1649	CERTAIN	99838880	Church of Scotland -- Controversial literature -- Early works to 1800.	Gillespie, George, 1613-1648.	RELIGION_ANTI_CATHOLICISM	Anonymous. By George Gillespie. | Place of publication and printer's name from STC. | Each part has separate pagination. | Quires 3K-3N, 3P, and 3R may be by a different printer or compositor. | Reproduction of the original in the British Library.	Leiden	Printed [by W. Christiaens	1625_1649	CERTAIN	umi: 99838880	S: 11896	3270	A dispute against the English-popish ceremonies, obtruded vpon the Church of Scotland. Wherein not only our ovvne argumemts [sic] against the same are strongly confirmed, but likewise the ansvveres and defences of our opposites, such as Hooker, Mortoune ... Forbesse, &amp;c. particularly confuted.	1637	CERTAIN	https://cqpweb.lancs.ac.uk/eebov3/context.php?qid=006421&batch=21	28205496	28205497
23	A01972	him , it is but a small venial sin ; so extenuating it , as a matter not much to	<<< be stood >>>	upon . 2 . But if the sin do seem great and ugly , then it labours to make him	him_PPHO1 ,_YCOM it_PPH1 is_VBZ but_CCB a_AT1 small_JJ venial_JJ sin_NN1 ;_YSCOL so_RR extenuating_VVG it_PPH1 ,_YCOM as_II a_AT1 matter_NN1 not_XX much_DA1 to_TO	<<< be_VBI stood_VVN >>>	upon_II ._YSTP 2_MC ._YSTP But_CCB if_CS the_AT sin_NN1 do_VD0 seem_VVI great_JJ and_CC ugly_JJ ,_YCOM then_RT it_PPH1 labours_NN2 to_TO make_VVI him_PPHO1	_NO_TITLES_LISTED_	Exposition on the whole fifth chapter of S. Johns Gospell | Exposition on the whole fifth chapter of S. Johns Gospell. | Exposition of part of the fift and sixt chapters of S. Paules Epistle to the Ephesians.	STC (2nd ed.) 12114.	1600_1699	CERTAIN	1630_1639	CERTAIN	1600_1649	CERTAIN	99839040	Bible -- Commentaries.	Gouge, William, 1578-1653. | Pemble, William, 1592?-1623.	RELIGION_EPISTLES	A reverend divine = William Gouge. | According to the preliminaries of a reissue (STC 12115), this was dictated to William Pemble. | Printers' names from STC. | &quot;An exposition of part of the fift and sixt chapters of S. Paules Epistle to the Ephesians&quot; has separate dated title page (2A1) and pagination. It and the first title page were printed on a single bifolium, apparently by Felix Kingston. | Reproduction of the original in the University of Illinois (Urbana-Champaign Campus). Library.	London	Imprinted [by H. Lownes and R. Young; and J. Beale] for Iohn Bartlett, and are to be sold at the signe of the gilt Cup in the Goldsmiths Row in Cheapesid	1625_1649	CERTAIN	umi: 99839040	S: 12114	3435	An exposition on the vvhole fifth chapter of S. Iohns Gospell also notes on other choice places of Scripture, taken by a reuerend diuine, now with God, and found in his study after his death, written with his owne hand ...	1630	CERTAIN	https://cqpweb.lancs.ac.uk/eebov3/context.php?qid=006421&batch=22	31972551	31972552
