Number of hit	Text ID	Context before	Query item	Context after	Tagged context before	Tagged query item	Tagged context after	Country	Decade	Text genre	Text source	Year	URL	Matchbegin corpus position	Matchend corpus position
699	NN1__040206	by what he thought was a " shot gun being fired " at 5am . The police armed offender squad	<<< was stood >>>	down from the address at 7.30am . Winston Peters Peters may face grilling by scampi inquiry colleagues By HELEN TUNNAH	by_II what_DDQ he_PPHS1 thought_VVD was_VBDZ a_AT1 "_YQUO shot_NN1 gun_NN1 being_VBG fired_VVN "_YQUO at_II 5am_RA ._YSTP The_AT police_NN2 armed_JJ offender_NN1 squad_NN1	<<< was_VBDZ stood_VVN >>>	down_RP from_II the_AT address_NN1 at_II 7.30am_RA ._YSTP Winston_NP1 Peters_VVZ Peters_VVZ may_VM face_VVI grilling_VVG by_II scampi_NN1 inquiry_NN1 colleagues_NN2 By_II HELEN_NP1 TUNNAH_NP1	New Zealand	2000s	newspaper	New Scientist	2004	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=698	529862811	529862812
700	NN1__040207	had not recommended him for deputy commissioner . Two days later , as police reopened the criminal investigation and Rickards	<<< was stood >>>	down , Helen Clark ordered an independent commission of inquiry . " The allegations are extremely serious and suggest a	had_VHD not_XX recommended_VVN him_PPHO1 for_IF deputy_NN1 commissioner_NN1 ._YSTP Two_MC days_NNT2 later_RRR ,_YCOM as_CSA police_NN2 reopened_VVD the_AT criminal_JJ investigation_NN1 and_CC Rickards_NP2	<<< was_VBDZ stood_VVN >>>	down_RP ,_YCOM Helen_NP1 Clark_NP1 ordered_VVD an_AT1 independent_JJ commission_NN1 of_IO inquiry_NN1 ._YSTP "_YQUO The_AT allegations_NN2 are_VBR extremely_RR serious_JJ and_CC suggest_VV0 a_AT1	New Zealand	2000s	newspaper	New Scientist	2004	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=699	529883937	529883938
701	NN1__040207	had not recommended him for deputy commissioner . Two days later , as police reopened the criminal investigation and Rickards	<<< was stood >>>	down , Helen Clark ordered an independent commission of inquiry . " The allegations are extremely serious and suggest a	had_VHD not_XX recommended_VVN him_PPHO1 for_IF deputy_NN1 commissioner_NN1 ._YSTP Two_MC days_NNT2 later_RRR ,_YCOM as_CSA police_NN2 reopened_VVD the_AT criminal_JJ investigation_NN1 and_CC Rickards_NP2	<<< was_VBDZ stood_VVN >>>	down_RP ,_YCOM Helen_NP1 Clark_NP1 ordered_VVD an_AT1 independent_JJ commission_NN1 of_IO inquiry_NN1 ._YSTP "_YQUO The_AT allegations_NN2 are_VBR extremely_RR serious_JJ and_CC suggest_VV0 a_AT1	New Zealand	2000s	newspaper	New Scientist	2004	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=700	529896771	529896772
702	NN1__040213	with a baton . The men accused by Mrs Nicholas all have vehemently denied the allegations . Mr Rickards has	<<< been stood >>>	down on full pay while the claims are investigated . The Government has also ordered an urgent Commission of Inquiry	with_IW a_AT1 baton_NN1 ._YSTP The_AT men_NN2 accused_VVN by_II Mrs_NNB Nicholas_NP1 all_DB have_VH0 vehemently_RR denied_VVN the_AT allegations_NN2 ._YSTP Mr_NNB Rickards_NP1 has_VHZ	<<< been_VBN stood_VVN >>>	down_RP on_II full_JJ pay_NN1 while_CS the_AT claims_NN2 are_VBR investigated_VVN ._YSTP The_AT Government_NN1 has_VHZ also_RR ordered_VVN an_AT1 urgent_JJ Commission_NN1 of_IO Inquiry_NN1	New Zealand	2000s	newspaper	New Scientist	2004	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=701	529967275	529967276
703	NN1__040214	sex in the mid-1980s with Mr Dewar , Mr Shipton and a third officer , Clint Rickards , who has	<<< been stood >>>	down as Auckland 's police commander pending the outcome of an inquiry into the cover-up claims and a fresh criminal	sex_NN1 in_II the_AT mid-1980s_NN2 with_IW Mr_NNB Dewar_NP1 ,_YCOM Mr_NNB Shipton_NP1 and_CC a_AT1 third_MD officer_NN1 ,_YCOM Clint_NP1 Rickards_NP2 ,_YCOM who_PNQS has_VHZ	<<< been_VBN stood_VVN >>>	down_RP as_CSA Auckland_NP1 's_GE police_NN2 commander_NN1 pending_II the_AT outcome_NN1 of_IO an_AT1 inquiry_NN1 into_II the_AT cover-up_NN1 claims_NN2 and_CC a_AT1 fresh_JJ criminal_JJ	New Zealand	2000s	newspaper	New Scientist	2004	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=702	529978875	529978876
704	NN1__040215	cop stood down as police pack rape probe continues UPDATED REPORT - A second New Zealand police district commander has	<<< been stood >>>	down as the inquiry into a Rotorua woman 's allegations of pack rape against a number of policeman picks up	cop_NN1 stood_VVD down_RP as_CSA police_NN2 pack_VV0 rape_NN1 probe_NN1 continues_VVZ UPDATED_JJ REPORT_NN1 -_YDSH A_AT1 second_NNT1 New_NP1 Zealand_NP1 police_NN2 district_NN1 commander_NN1 has_VHZ	<<< been_VBN stood_VVN >>>	down_RP as_II the_AT inquiry_NN1 into_II a_AT1 Rotorua_NN1 woman_NN1 's_GE allegations_NN2 of_IO pack_NN1 rape_NN1 against_II a_AT1 number_NN1 of_IO policeman_NN1 picks_VVZ up_RP	New Zealand	2000s	newspaper	New Scientist	2004	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=703	529992052	529992053
705	NN1__040215	Thursday by police conducting the inquiry into the Louise Nicholas complaints . He is the second police boss to have	<<< been stood >>>	down since the investigation was relaunched last month . Assistant Commissioner Clint Rickards , the commander of the Auckland police	Thursday_NPD1 by_II police_NN2 conducting_VVG the_AT inquiry_NN1 into_II the_AT Louise_NP1 Nicholas_NP1 complaints_NN2 ._YSTP He_PPHS1 is_VBZ the_AT second_MD police_NN2 boss_VV0 to_TO have_VHI	<<< been_VBN stood_VVN >>>	down_RP since_CS the_AT investigation_NN1 was_VBDZ relaunched_VVN last_MD month_NNT1 ._YSTP Assistant_JJ Commissioner_NN1 Clint_NP1 Rickards_NP2 ,_YCOM the_AT commander_NN1 of_IO the_AT Auckland_NP1 police_NN2	New Zealand	2000s	newspaper	New Scientist	2004	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=704	529992166	529992167
706	NN1__040215	cop stood down as police pack rape probe continues UPDATED REPORT - A second New Zealand police district commander has	<<< been stood >>>	down as the inquiry into a Rotorua woman 's allegations of pack rape against a number of policeman picks up	cop_NN1 stood_VVD down_RP as_CSA police_NN2 pack_VV0 rape_NN1 probe_NN1 continues_VVZ UPDATED_JJ REPORT_NN1 -_YDSH A_AT1 second_NNT1 New_NP1 Zealand_NP1 police_NN2 district_NN1 commander_NN1 has_VHZ	<<< been_VBN stood_VVN >>>	down_RP as_II the_AT inquiry_NN1 into_II a_AT1 Rotorua_NN1 woman_NN1 's_GE allegations_NN2 of_IO pack_NN1 rape_NN1 against_II a_AT1 number_NN1 of_IO policeman_NN1 picks_VVZ up_RP	New Zealand	2000s	newspaper	New Scientist	2004	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=705	529998883	529998884
707	NN1__040215	Thursday by police conducting the inquiry into the Louise Nicholas complaints . He is the second police boss to have	<<< been stood >>>	down since the investigation was relaunched last month . Assistant Commissioner Clint Rickards , the commander of the Auckland police	Thursday_NPD1 by_II police_NN2 conducting_VVG the_AT inquiry_NN1 into_II the_AT Louise_NP1 Nicholas_NP1 complaints_NN2 ._YSTP He_PPHS1 is_VBZ the_AT second_MD police_NN2 boss_VV0 to_TO have_VHI	<<< been_VBN stood_VVN >>>	down_RP since_CS the_AT investigation_NN1 was_VBDZ relaunched_VVN last_MD month_NNT1 ._YSTP Assistant_JJ Commissioner_NN1 Clint_NP1 Rickards_NP2 ,_YCOM the_AT commander_NN1 of_IO the_AT Auckland_NP1 police_NN2	New Zealand	2000s	newspaper	New Scientist	2004	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=706	529998997	529998998
708	NN1__040216	the alleged Rotorua pack rape widens to other accusations of sexual misconduct . Waikato district commander Kelvin Powell , who	<<< was stood >>>	down on Saturday , took over the district from Assistant Commissioner Clint Rickards . Mr Rickards was himself stood down	the_AT alleged_JJ Rotorua_NN1 pack_NN1 rape_NN1 widens_VVZ to_II other_JJ accusations_NN2 of_IO sexual_JJ misconduct_NN1 ._YSTP Waikato_NN1 district_NN1 commander_NN1 Kelvin_NP1 Powell_NP1 ,_YCOM who_PNQS	<<< was_VBDZ stood_VVN >>>	down_RP on_II Saturday_NPD1 ,_YCOM took_VVD over_II the_AT district_NN1 from_II Assistant_JJ Commissioner_NN1 Clint_NP1 Rickards_NP2 ._YSTP Mr_NNB Rickards_NP1 was_VBDZ himself_PPX1 stood_VVN down_RP	New Zealand	2000s	newspaper	New Scientist	2004	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=707	530002751	530002752
709	NN1__040216	verbal reference was sought from Mr Rickards . St John chief executive officer Jaimes Wood said Mr Dewar would not	<<< be stood >>>	down from his position as human resource manager for the Midland region . Kelvin Powell * Waikato district police commander	verbal_JJ reference_NN1 was_VBDZ sought_VVN from_II Mr_NNB Rickards_NP1 ._YSTP St_NP1 John_NP1 chief_JJ executive_NN1 officer_NN1 Jaimes_NP2 Wood_NP1 said_VVD Mr_NNB Dewar_NP1 would_VM not_XX	<<< be_VBI stood_VVN >>>	down_RP from_II his_APPGE position_NN1 as_CSA human_JJ resource_NN1 manager_NN1 for_IF the_AT Midland_NP1 region_NN1 ._YSTP Kelvin_NP1 Powell_NP1 *_FU Waikato_NN1 district_NN1 police_NN2 commander_NN1	New Zealand	2000s	newspaper	New Scientist	2004	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=708	530003464	530003465
710	NN1__040217	was mishandled . Assistant Commissioner Clint Rickards is one of three officers accused of pack rape in 1986 and has	<<< been stood >>>	down from his Auckland City district command post . Waikato district police commander Kelvin Powell is alleged to be implicated	was_VBDZ mishandled_VVN ._YSTP Assistant_JJ Commissioner_NN1 Clint_NP1 Rickards_NP2 is_VBZ one_MC1 of_IO three_MC officers_NN2 accused_VVN of_IO pack_NN1 rape_NN1 in_II 1986_MC and_CC has_VHZ	<<< been_VBN stood_VVN >>>	down_RP from_II his_APPGE Auckland_NP1 City_NN1 district_NN1 command_NN1 post_NN1 ._YSTP Waikato_NN1 district_NN1 police_NN2 commander_NN1 Kelvin_NP1 Powell_NP1 is_VBZ alleged_VVN to_TO be_VBI implicated_VVN	New Zealand	2000s	newspaper	New Scientist	2004	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=709	530015966	530015967
711	NN1__040220	Bob Schollum and Brad Shipton . Mr Rickards , now an assistant commissioner in charge of Auckland police , has	<<< been stood >>>	down . The other two are no longer in the force . All three men have strongly denied the allegations	Bob_NP1 Schollum_NP1 and_CC Brad_NP1 Shipton_NP1 ._YSTP Mr_NNB Rickards_NP1 ,_YCOM now_RT an_AT1 assistant_JJ commissioner_NN1 in_II31 charge_II32 of_II33 Auckland_NP1 police_NN2 ,_YCOM has_VHZ	<<< been_VBN stood_VVN >>>	down_RP ._YSTP The_AT other_JJ two_MC are_VBR no_RR21 longer_RR22 in_II the_AT force_NN1 ._YSTP All_DB three_MC men_NN2 have_VH0 strongly_RR denied_VVN the_AT allegations_NN2	New Zealand	2000s	newspaper	New Scientist	2004	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=710	530055217	530055218
712	NN1__040220	Bob Schollum and Brad Shipton . Mr Rickards , now an assistant commissioner in charge of Auckland police , has	<<< been stood >>>	down . The other two are no longer in the force . All three men have strongly denied the allegations	Bob_NP1 Schollum_NP1 and_CC Brad_NP1 Shipton_NP1 ._YSTP Mr_NNB Rickards_NP1 ,_YCOM now_RT an_AT1 assistant_JJ commissioner_NN1 in_II31 charge_II32 of_II33 Auckland_NP1 police_NN2 ,_YCOM has_VHZ	<<< been_VBN stood_VVN >>>	down_RP ._YSTP The_AT other_JJ two_MC are_VBR no_RR21 longer_RR22 in_II the_AT force_NN1 ._YSTP All_DB three_MC men_NN2 have_VH0 strongly_RR denied_VVN the_AT allegations_NN2	New Zealand	2000s	newspaper	New Scientist	2004	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=711	530071739	530071740
713	NN1__040301	accusations . The woman has sworn an affidavit alleging Mr Dewar joined Brad Shipton and Clint Rickards , who has	<<< been stood >>>	down as Auckland police commissioner , in manipulating her into having sex after a family tragedy . Mrs Nicholas accused	accusations_NN2 ._YSTP The_AT woman_NN1 has_VHZ sworn_VVN an_AT1 affidavit_NN1 alleging_VVG Mr_NNB Dewar_NP1 joined_VVD Brad_NP1 Shipton_NP1 and_CC Clint_NP1 Rickards_NP2 ,_YCOM who_PNQS has_VHZ	<<< been_VBN stood_VVN >>>	down_RP as_CSA Auckland_NP1 police_NN2 commissioner_NN1 ,_YCOM in_II manipulating_VVG her_PPHO1 into_II having_VHG sex_NN1 after_II a_AT1 family_NN1 tragedy_NN1 ._YSTP Mrs_NNB Nicholas_NP1 accused_VVD	New Zealand	2000s	newspaper	New Scientist	2004	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=712	530154384	530154385
714	NN1__040301	absence by mutual consent while he focuses on the commission of inquiry " . Asked if this meant Mr Dewar	<<< was stood >>>	down as human resources manager for St John 's Midland region in Hamilton , Mr Wood said : " It	absence_NN1 by_II mutual_JJ consent_NN1 while_CS he_PPHS1 focuses_VVZ on_II the_AT commission_NN1 of_IO inquiry_NN1 "_YQUO ._YSTP Asked_VVN if_CS this_DD1 meant_VVD Mr_NNB Dewar_NP1	<<< was_VBDZ stood_VVN >>>	down_RP as_RG human_JJ resources_NN2 manager_NN1 for_IF St_NP1 John_NP1 's_GE Midland_NP1 region_NN1 in_II Hamilton_NP1 ,_YCOM Mr_NNB Wood_NP1 said_VVD :_YCOL "_YQUO It_PPH1	New Zealand	2000s	newspaper	New Scientist	2004	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=713	530154474	530154475
715	NN1__040301	accusations . The woman has sworn an affidavit alleging Mr Dewar joined Brad Shipton and Clint Rickards , who has	<<< been stood >>>	down as Auckland police commissioner , in manipulating her into having sex after a family tragedy . Mrs Nicholas accused	accusations_NN2 ._YSTP The_AT woman_NN1 has_VHZ sworn_VVN an_AT1 affidavit_NN1 alleging_VVG Mr_NNB Dewar_NP1 joined_VVD Brad_NP1 Shipton_NP1 and_CC Clint_NP1 Rickards_NP2 ,_YCOM who_PNQS has_VHZ	<<< been_VBN stood_VVN >>>	down_RP as_CSA Auckland_NP1 police_NN2 commissioner_NN1 ,_YCOM in_II manipulating_VVG her_PPHO1 into_II having_VHG sex_NN1 after_II a_AT1 family_NN1 tragedy_NN1 ._YSTP Mrs_NNB Nicholas_NP1 accused_VVD	New Zealand	2000s	newspaper	New Scientist	2004	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=714	530160426	530160427
716	NN1__040301	absence by mutual consent while he focuses on the commission of inquiry " . Asked if this meant Mr Dewar	<<< was stood >>>	down as human resources manager for St John 's Midland region in Hamilton , Mr Wood said : " It	absence_NN1 by_II mutual_JJ consent_NN1 while_CS he_PPHS1 focuses_VVZ on_II the_AT commission_NN1 of_IO inquiry_NN1 "_YQUO ._YSTP Asked_VVN if_CS this_DD1 meant_VVD Mr_NNB Dewar_NP1	<<< was_VBDZ stood_VVN >>>	down_RP as_RG human_JJ resources_NN2 manager_NN1 for_IF St_NP1 John_NP1 's_GE Midland_NP1 region_NN1 in_II Hamilton_NP1 ,_YCOM Mr_NNB Wood_NP1 said_VVD :_YCOL "_YQUO It_PPH1	New Zealand	2000s	newspaper	New Scientist	2004	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=715	530160516	530160517
717	NN1__040306	staff conspired to lie about a suspected terrorist has been suspended from his job . Communications manager Ian Smith has	<<< been stood >>>	down on full pay after a scathing report said he deliberately tried to conceal the memo from Ombudsman Mel Smith	staff_NN conspired_VVD to_TO lie_VVI about_II a_AT1 suspected_JJ terrorist_NN1 has_VHZ been_VBN suspended_VVN from_II his_APPGE job_NN1 ._YSTP Communications_NN2 manager_NN1 Ian_NP1 Smith_NP1 has_VHZ	<<< been_VBN stood_VVN >>>	down_RP on_II full_JJ pay_NN1 after_II a_AT1 scathing_JJ report_NN1 said_VVD he_PPHS1 deliberately_RR tried_VVD to_TO conceal_VVI the_AT memo_NN1 from_II Ombudsman_NN1 Mel_NP1 Smith_NP1	New Zealand	2000s	newspaper	New Scientist	2004	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=716	530211501	530211502
718	NN1__040313	" The court case was the first indication the DHB had of such activities , and Ian Thomas has since	<<< been stood >>>	down from duties as a psychiatric nurse in the adult inpatient unit pending the outcome of an investigation and a	"_YQUO The_AT court_NN1 case_NN1 was_VBDZ the_AT first_MD indication_NN1 the_AT DHB_NP1 had_VHD of_IO such_DA activities_NN2 ,_YCOM and_CC Ian_NP1 Thomas_NP1 has_VHZ since_RR	<<< been_VBN stood_VVN >>>	down_RP from_II duties_NN2 as_II a_AT1 psychiatric_JJ nurse_NN1 in_II the_AT adult_NN1 inpatient_NN1 unit_NN1 pending_II the_AT outcome_NN1 of_IO an_AT1 investigation_NN1 and_CC a_AT1	New Zealand	2000s	newspaper	New Scientist	2004	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=717	530311112	530311113
719	NN1__040320	have the case done by Tauranga prosecutions , " Mr Wright St-Clair said . Mr Wright St-Clair confirmed Mr Elliott	<<< was stood >>>	down from duties on full pay after being charged in June . Mr Elliott would not return to work until	have_VHI the_AT case_NN1 done_VDN by_II Tauranga_NP1 prosecutions_NN2 ,_YCOM "_YQUO Mr_NNB Wright_NP1 St-Clair_NP1 said_VVD ._YSTP Mr_NNB Wright_NP1 St-Clair_NP1 confirmed_VVD Mr_NNB Elliott_NP1	<<< was_VBDZ stood_VVN >>>	down_RP from_II duties_NN2 on_II full_JJ pay_NN1 after_II being_VBG charged_VVN in_II June_NPM1 ._YSTP Mr_NNB Elliott_NP1 would_VM not_XX return_VVI to_II work_NN1 until_CS	New Zealand	2000s	newspaper	New Scientist	2004	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=718	530409416	530409417
720	NN1__040322	Brad Shipton and Bob Schollum pack raped her . The men have strongly denied the allegations . Mr Rickards has	<<< been stood >>>	down from his job as Auckland district police commander . A second allegation before the inquiry is that of Judith	Brad_NP1 Shipton_NP1 and_CC Bob_NP1 Schollum_NP1 pack_NN1 raped_VVN her_PPHO1 ._YSTP The_AT men_NN2 have_VH0 strongly_RR denied_VVN the_AT allegations_NN2 ._YSTP Mr_NNB Rickards_NP1 has_VHZ	<<< been_VBN stood_VVN >>>	down_RP from_II his_APPGE job_NN1 as_CSA Auckland_NP1 district_NN1 police_NN2 commander_NN1 ._YSTP A_AT1 second_MD allegation_NN1 before_II the_AT inquiry_NN1 is_VBZ that_DD1 of_IO Judith_NP1	New Zealand	2000s	newspaper	New Scientist	2004	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=719	530426861	530426862
721	NN1__040323	up around the country ? " Prison officers stood down over bullying allegation A group of Waikeria prison officers have	<<< been stood >>>	down and police are investigating after a fellow officer was allegedly restrained while a tie was cut from his neck	up_RP around_II the_AT country_NN1 ?_YQUE "_YQUO Prison_NN1 officers_NN2 stood_VVD down_RP over_II bullying_VVG allegation_NN1 A_ZZ1 group_NN1 of_IO Waikeria_NP1 prison_NN1 officers_NN2 have_VH0	<<< been_VBN stood_VVN >>>	down_RP and_CC police_NN2 are_VBR investigating_VVG after_II a_AT1 fellow_JJ officer_NN1 was_VBDZ allegedly_RR restrained_VVN while_CS a_AT1 tie_NN1 was_VBDZ cut_VVN from_II his_APPGE neck_NN1	New Zealand	2000s	newspaper	New Scientist	2004	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=720	530444294	530444295
722	NN1__040323	allegedly restrained while a tie was cut from his neck . The Department of Corrections has confirmed five officers have	<<< been stood >>>	down from the prison near Te Awamutu , pending a decision on whether they should be suspended while an investigation	allegedly_RR restrained_VVN while_CS a_AT1 tie_NN1 was_VBDZ cut_VVN from_II his_APPGE neck_NN1 ._YSTP The_AT Department_NN1 of_IO Corrections_NN2 has_VHZ confirmed_VVN five_MC officers_NN2 have_VH0	<<< been_VBN stood_VVN >>>	down_RP from_II the_AT prison_NN1 near_II Te_FW Awamutu_NP1 ,_YCOM pending_II a_AT1 decision_NN1 on_II whether_CSW they_PPHS2 should_VM be_VBI suspended_VVN while_CS an_AT1 investigation_NN1	New Zealand	2000s	newspaper	New Scientist	2004	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=721	530444326	530444327
723	NN1__040327	. It is understood the female officer and sergeant have been off work since September , while the detective constable	<<< was stood >>>	down this week . The officers were all granted interim name suppression by Judge Karina Williams and were remanded on	._YSTP It_PPH1 is_VBZ understood_VVN the_AT female_JJ officer_NN1 and_CC sergeant_NN1 have_VH0 been_VBN off_II work_NN1 since_II September_NPM1 ,_YCOM while_CS the_AT detective_NN1 constable_NN1	<<< was_VBDZ stood_VVN >>>	down_RP this_DD1 week_NNT1 ._YSTP The_AT officers_NN2 were_VBDR all_DB granted_VVD interim_JJ name_NN1 suppression_NN1 by_II Judge_NP1 Karina_NP1 Williams_NP1 and_CC were_VBDR remanded_VVN on_II	New Zealand	2000s	newspaper	New Scientist	2004	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=722	530507803	530507804
724	NN1__040404	rape There is confirmation that another top police officer faces an allegation of rape . Waikato district commander Kelvin Powell	<<< was stood >>>	down two months ago , but at the time no reason was given . It has now been disclosed a	rape_NN1 There_EX is_VBZ confirmation_NN1 that_CST another_DD1 top_JJ police_NN2 officer_NN1 faces_VVZ an_AT1 allegation_NN1 of_IO rape_NN1 ._YSTP Waikato_NN1 district_NN1 commander_NN1 Kelvin_NP1 Powell_NP1	<<< was_VBDZ stood_VVN >>>	down_RP two_MC months_NNT2 ago_RA ,_YCOM but_CCB at_II the_AT time_NNT1 no_AT reason_NN1 was_VBDZ given_VVN ._YSTP It_PPH1 has_VHZ now_RT been_VBN disclosed_VVN a_AT1	New Zealand	2000s	newspaper	New Scientist	2004	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=723	530616120	530616121
725	NN1__040421	Brad Shipton and Bob Schollum pack raped her . The men have strongly denied the allegations . Mr Rickards has	<<< been stood >>>	down from his job as Auckland district police commander . A second allegation before the inquiry is that of Judith	Brad_NP1 Shipton_NP1 and_CC Bob_NP1 Schollum_NP1 pack_NN1 raped_VVN her_PPHO1 ._YSTP The_AT men_NN2 have_VH0 strongly_RR denied_VVN the_AT allegations_NN2 ._YSTP Mr_NNB Rickards_NP1 has_VHZ	<<< been_VBN stood_VVN >>>	down_RP from_II his_APPGE job_NN1 as_CSA Auckland_NP1 district_NN1 police_NN2 commander_NN1 ._YSTP A_AT1 second_MD allegation_NN1 before_II the_AT inquiry_NN1 is_VBZ that_DD1 of_IO Judith_NP1	New Zealand	2000s	newspaper	New Scientist	2004	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=724	530816859	530816860
726	NN1__040421	tighter assignments ; * more reference checking should have been made into independent contractor Tommy Moana , who should have	<<< been stood >>>	down from the project once the department knew in 2001 that he faced unrelated fraud charges ; * the contract	tighter_JJR assignments_NN2 ;_YSCOL *_FU more_DAR reference_NN1 checking_NN1 should_VM have_VHI been_VBN made_VVN into_II independent_JJ contractor_NN1 Tommy_NP1 Moana_NP1 ,_YCOM who_PNQS should_VM have_VHI	<<< been_VBN stood_VVN >>>	down_RP from_II the_AT project_NN1 once_CS the_AT department_NN1 knew_VVD in_II 2001_MC that_CST he_PPHS1 faced_VVD unrelated_JJ fraud_NN1 charges_NN2 ;_YSCOL *_FU the_AT contract_NN1	New Zealand	2000s	newspaper	New Scientist	2004	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=725	530817606	530817607
727	NN1__040421	Brad Shipton and Bob Schollum pack raped her . The men have strongly denied the allegations . Mr Rickards has	<<< been stood >>>	down from his job as Auckland district police commander . A second allegation before the inquiry is that of Judith	Brad_NP1 Shipton_NP1 and_CC Bob_NP1 Schollum_NP1 pack_NN1 raped_VVN her_PPHO1 ._YSTP The_AT men_NN2 have_VH0 strongly_RR denied_VVN the_AT allegations_NN2 ._YSTP Mr_NNB Rickards_NP1 has_VHZ	<<< been_VBN stood_VVN >>>	down_RP from_II his_APPGE job_NN1 as_CSA Auckland_NP1 district_NN1 police_NN2 commander_NN1 ._YSTP A_AT1 second_MD allegation_NN1 before_II the_AT inquiry_NN1 is_VBZ that_DD1 of_IO Judith_NP1	New Zealand	2000s	newspaper	New Scientist	2004	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=726	530828542	530828543
728	NN1__040422	information and links Tainui suspend leader over prison consultation row Tainui co-chairman Haydn Solomon has been suspended . Mr Solomon	<<< was stood >>>	down yesterday pending an investigation into payments by the Corrections Department for consultation over the Spring Hill prison planned at	information_NN1 and_CC links_VVZ Tainui_NP1 suspend_VV0 leader_NN1 over_II prison_NN1 consultation_NN1 row_VV0 Tainui_JJ co-chairman_NN1 Haydn_NP1 Solomon_NP1 has_VHZ been_VBN suspended_VVN ._YSTP Mr_NNB Solomon_NP1	<<< was_VBDZ stood_VVN >>>	down_RP yesterday_RT pending_II an_AT1 investigation_NN1 into_II payments_NN2 by_II the_AT Corrections_NN2 Department_NN1 for_IF consultation_NN1 over_II the_AT Spring_NP1 Hill_NNL1 prison_NN1 planned_VVN at_II	New Zealand	2000s	newspaper	New Scientist	2004	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=727	530829304	530829305
729	NN1__040504	going to leave Labour . " She will now have to make up her mind as to whether those assurances	<<< are stood >>>	by , or not , " she said today . Helen Clark could also offer up Mrs Turia 's portfolios	going_VVGK to_TO leave_VVI Labour_JJ ._YSTP "_YQUO She_PPHS1 will_VM now_RT have_VHI to_TO make_VVI up_RP her_APPGE mind_NN1 as_II21 to_II22 whether_CSW those_DD2 assurances_NN2	<<< are_VBR stood_VVN >>>	by_II ,_YCOM or_CC not_XX ,_YCOM "_YQUO she_PPHS1 said_VVD today_RT ._YSTP Helen_NP1 Clark_NP1 could_VM also_RR offer_VVI up_RP Mrs_NNB Turia_NP1 's_GE portfolios_NN2	New Zealand	2000s	newspaper	New Scientist	2004	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=728	531005732	531005733
730	NN1__040504	going to leave Labour . " She will now have to make up her mind as to whether those assurances	<<< are stood >>>	by , or not , " Helen Clark said today . Ms Mahuta said yesterday if the Government failed to	going_VVGK to_TO leave_VVI Labour_JJ ._YSTP "_YQUO She_PPHS1 will_VM now_RT have_VHI to_TO make_VVI up_RP her_APPGE mind_NN1 as_II21 to_II22 whether_CSW those_DD2 assurances_NN2	<<< are_VBR stood_VVN >>>	by_II ,_YCOM or_CC not_XX ,_YCOM "_YQUO Helen_NP1 Clark_NP1 said_VVD today_RT ._YSTP Ms_NNB Mahuta_NP1 said_VVD yesterday_RT if_CS the_AT Government_NN1 failed_VVD to_TO	New Zealand	2000s	newspaper	New Scientist	2004	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=729	531009918	531009919
